target_name,validation,model,folds,n_test_total,elapsed_s_total,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std,r2_min,r2_max,pearson_mean,pearson_std,pearson_min,pearson_max,spearman_mean,spearman_std,spearman_min,spearman_max
attention,groupkfold_subject_fold_1,hgb_reg,1,8605,13.648747682571411,0.09681252040990418,0.0,0.09681252040990418,0.09681252040990418,0.12356319536591619,0.0,0.12356319536591619,0.12356319536591619,0.1853583773109122,0.0,0.1853583773109122,0.1853583773109122,0.44867791847858035,0.0,0.44867791847858035,0.44867791847858035,0.44089025088463035,0.0,0.44089025088463035,0.44089025088463035
attention,groupkfold_subject_fold_1,lgbm_reg,1,8605,17.786927223205566,0.09649805684588218,0.0,0.09649805684588218,0.09649805684588218,0.12309575454691904,0.0,0.12309575454691904,0.12309575454691904,0.1915103138515356,0.0,0.1915103138515356,0.1915103138515356,0.4604018327523787,0.0,0.4604018327523787,0.4604018327523787,0.450926868959483,0.0,0.450926868959483,0.450926868959483
attention,groupkfold_subject_fold_1,rf_reg,1,8605,434.6001310348511,0.0973974045479491,0.0,0.0973974045479491,0.0973974045479491,0.12463734104837393,0.0,0.12463734104837393,0.12463734104837393,0.17113331303854262,0.0,0.17113331303854262,0.17113331303854262,0.42641345245443857,0.0,0.42641345245443857,0.42641345245443857,0.4126008395176092,0.0,0.4126008395176092,0.4126008395176092
engagement,groupkfold_subject_fold_1,hgb_reg,1,9517,13.668521165847778,0.0981885479702611,0.0,0.0981885479702611,0.0981885479702611,0.12338403591025676,0.0,0.12338403591025676,0.12338403591025676,0.2198054970567772,0.0,0.2198054970567772,0.2198054970567772,0.4793812083507702,0.0,0.4793812083507702,0.4793812083507702,0.3741191925793188,0.0,0.3741191925793188,0.3741191925793188
engagement,groupkfold_subject_fold_1,lgbm_reg,1,9517,10.67389726638794,0.09789635327708025,0.0,0.09789635327708025,0.09789635327708025,0.12298906921676468,0.0,0.12298906921676468,0.12298906921676468,0.22479248953824238,0.0,0.22479248953824238,0.22479248953824238,0.4836664154479612,0.0,0.4836664154479612,0.4836664154479612,0.37746280481375566,0.0,0.37746280481375566,0.37746280481375566
engagement,groupkfold_subject_fold_1,rf_reg,1,9517,475.4116506576538,0.09960581001580042,0.0,0.09960581001580042,0.09960581001580042,0.12543011043343624,0.0,0.12543011043343624,0.12543011043343624,0.19371505374436304,0.0,0.19371505374436304,0.19371505374436304,0.44978761262680617,0.0,0.44978761262680617,0.44978761262680617,0.34372166420184935,0.0,0.34372166420184935,0.34372166420184935
excitement,groupkfold_subject_fold_1,hgb_reg,1,10175,12.728759050369263,0.1435199517499054,0.0,0.1435199517499054,0.1435199517499054,0.18201487579194683,0.0,0.18201487579194683,0.18201487579194683,0.47918384134144854,0.0,0.47918384134144854,0.47918384134144854,0.7080264889124248,0.0,0.7080264889124248,0.7080264889124248,0.6573303306000228,0.0,0.6573303306000228,0.6573303306000228
excitement,groupkfold_subject_fold_1,lgbm_reg,1,10175,10.849908590316772,0.14337415952147703,0.0,0.14337415952147703,0.14337415952147703,0.18167316681730164,0.0,0.18167316681730164,0.18167316681730164,0.48113753330699227,0.0,0.48113753330699227,0.48113753330699227,0.7120701468443353,0.0,0.7120701468443353,0.7120701468443353,0.6612385072395183,0.0,0.6612385072395183,0.6612385072395183
excitement,groupkfold_subject_fold_1,rf_reg,1,10175,512.4833586215973,0.15116292680096008,0.0,0.15116292680096008,0.15116292680096008,0.18630039167628826,0.0,0.18630039167628826,0.18630039167628826,0.4543700278513845,0.0,0.4543700278513845,0.4543700278513845,0.7055579573717559,0.0,0.7055579573717559,0.7055579573717559,0.6430255691716731,0.0,0.6430255691716731,0.6430255691716731
focus,groupkfold_subject_fold_1,hgb_reg,1,9123,12.214513540267944,0.09488244679883631,0.0,0.09488244679883631,0.09488244679883631,0.11929211000059622,0.0,0.11929211000059622,0.11929211000059622,0.17590305299329057,0.0,0.17590305299329057,0.17590305299329057,0.4515004827174439,0.0,0.4515004827174439,0.4515004827174439,0.4092301488298013,0.0,0.4092301488298013,0.4092301488298013
focus,groupkfold_subject_fold_1,lgbm_reg,1,9123,9.956025123596191,0.09366034489100225,0.0,0.09366034489100225,0.09366034489100225,0.11815223558018766,0.0,0.11815223558018766,0.11815223558018766,0.19157683146877125,0.0,0.19157683146877125,0.19157683146877125,0.46368470171984727,0.0,0.46368470171984727,0.46368470171984727,0.42451464219323376,0.0,0.42451464219323376,0.42451464219323376
focus,groupkfold_subject_fold_1,rf_reg,1,9123,460.77301836013794,0.09103060606302901,0.0,0.09103060606302901,0.09103060606302901,0.11690269959874403,0.0,0.11690269959874403,0.11690269959874403,0.2085856052544448,0.0,0.2085856052544448,0.2085856052544448,0.5062418808218291,0.0,0.5062418808218291,0.5062418808218291,0.4750000201421556,0.0,0.4750000201421556,0.4750000201421556
interest,groupkfold_subject_fold_1,hgb_reg,1,9115,11.988885879516602,0.05455555926193858,0.0,0.05455555926193858,0.05455555926193858,0.07538180767487948,0.0,0.07538180767487948,0.07538180767487948,0.27471064231513986,0.0,0.27471064231513986,0.27471064231513986,0.5510396722642392,0.0,0.5510396722642392,0.5510396722642392,0.3878413929389558,0.0,0.3878413929389558,0.3878413929389558
interest,groupkfold_subject_fold_1,lgbm_reg,1,9115,9.588738918304443,0.0547636160024123,0.0,0.0547636160024123,0.0547636160024123,0.07530938336918498,0.0,0.07530938336918498,0.07530938336918498,0.27610364006703014,0.0,0.27610364006703014,0.27610364006703014,0.5531699218756679,0.0,0.5531699218756679,0.5531699218756679,0.38639650601569175,0.0,0.38639650601569175,0.38639650601569175
interest,groupkfold_subject_fold_1,rf_reg,1,9115,543.5329978466034,0.051183837099394384,0.0,0.051183837099394384,0.051183837099394384,0.07369342943791514,0.0,0.07369342943791514,0.07369342943791514,0.3068364062558936,0.0,0.3068364062558936,0.3068364062558936,0.556301599294662,0.0,0.556301599294662,0.556301599294662,0.39526174209704473,0.0,0.39526174209704473,0.39526174209704473
relaxation,groupkfold_subject_fold_1,hgb_reg,1,9060,12.01047134399414,0.11695508595690354,0.0,0.11695508595690354,0.11695508595690354,0.14864677845956464,0.0,0.14864677845956464,0.14864677845956464,0.221360490576045,0.0,0.221360490576045,0.221360490576045,0.5042441500985063,0.0,0.5042441500985063,0.5042441500985063,0.4637322343437567,0.0,0.4637322343437567,0.4637322343437567
relaxation,groupkfold_subject_fold_1,lgbm_reg,1,9060,9.731250047683716,0.1172052320445729,0.0,0.1172052320445729,0.1172052320445729,0.14889849385437637,0.0,0.14889849385437637,0.14889849385437637,0.21872119356631847,0.0,0.21872119356631847,0.21872119356631847,0.5056061269055794,0.0,0.5056061269055794,0.5056061269055794,0.4655469491315444,0.0,0.4655469491315444,0.4655469491315444
relaxation,groupkfold_subject_fold_1,rf_reg,1,9060,478.53585958480835,0.11218889586857721,0.0,0.11218889586857721,0.11218889586857721,0.14442554093268928,0.0,0.14442554093268928,0.14442554093268928,0.2649558262171139,0.0,0.2649558262171139,0.2649558262171139,0.5252503715860176,0.0,0.5252503715860176,0.5252503715860176,0.48407236957593036,0.0,0.48407236957593036,0.48407236957593036
stress,groupkfold_subject_fold_1,hgb_reg,1,9123,11.403371810913086,0.09953200700992977,0.0,0.09953200700992977,0.09953200700992977,0.1382409896630439,0.0,0.1382409896630439,0.1382409896630439,0.2346012039527181,0.0,0.2346012039527181,0.2346012039527181,0.48663925175460654,0.0,0.48663925175460654,0.48663925175460654,0.35054313803318926,0.0,0.35054313803318926,0.35054313803318926
stress,groupkfold_subject_fold_1,lgbm_reg,1,9123,9.207968950271606,0.10010744122309571,0.0,0.10010744122309571,0.10010744122309571,0.1392226597775512,0.0,0.1392226597775512,0.1392226597775512,0.2236921831431159,0.0,0.2236921831431159,0.2236921831431159,0.476885942414315,0.0,0.476885942414315,0.476885942414315,0.339393927441245,0.0,0.339393927441245,0.339393927441245
stress,groupkfold_subject_fold_1,rf_reg,1,9123,598.2044775485992,0.0973092621279594,0.0,0.0973092621279594,0.0973092621279594,0.13527078532988177,0.0,0.13527078532988177,0.13527078532988177,0.267138125604258,0.0,0.267138125604258,0.267138125604258,0.5229469963366968,0.0,0.5229469963366968,0.5229469963366968,0.41658520465455134,0.0,0.41658520465455134,0.41658520465455134
attention,groupkfold_subject_fold_2,hgb_reg,1,8593,14.897217035293579,0.08605791107967942,0.0,0.08605791107967942,0.08605791107967942,0.11091727259141446,0.0,0.11091727259141446,0.11091727259141446,0.11064546563914779,0.0,0.11064546563914779,0.11064546563914779,0.45897278404972003,0.0,0.45897278404972003,0.45897278404972003,0.4589328914535901,0.0,0.4589328914535901,0.4589328914535901
attention,groupkfold_subject_fold_2,lgbm_reg,1,8593,21.844049215316772,0.08696091398179498,0.0,0.08696091398179498,0.08696091398179498,0.11154526879769738,0.0,0.11154526879769738,0.11154526879769738,0.1005461842168135,0.0,0.1005461842168135,0.1005461842168135,0.47131521597838894,0.0,0.47131521597838894,0.47131521597838894,0.4716551049328488,0.0,0.4716551049328488,0.4716551049328488
attention,groupkfold_subject_fold_2,rf_reg,1,8593,471.26687264442444,0.08575616680477423,0.0,0.08575616680477423,0.08575616680477423,0.11102547951164034,0.0,0.11102547951164034,0.11102547951164034,0.10890937432931003,0.0,0.10890937432931003,0.10890937432931003,0.43112916073852386,0.0,0.43112916073852386,0.43112916073852386,0.43508423294255333,0.0,0.43508423294255333,0.43508423294255333
engagement,groupkfold_subject_fold_2,hgb_reg,1,9644,12.68592119216919,0.08208443843467376,0.0,0.08208443843467376,0.08208443843467376,0.10549949277028284,0.0,0.10549949277028284,0.10549949277028284,0.30560226321437867,0.0,0.30560226321437867,0.30560226321437867,0.5618116995602523,0.0,0.5618116995602523,0.5618116995602523,0.47654049533414716,0.0,0.47654049533414716,0.47654049533414716
engagement,groupkfold_subject_fold_2,lgbm_reg,1,9644,10.451007604598999,0.08278178236666472,0.0,0.08278178236666472,0.08278178236666472,0.10654794043031075,0.0,0.10654794043031075,0.10654794043031075,0.29173191615401717,0.0,0.29173191615401717,0.29173191615401717,0.5562917407882938,0.0,0.5562917407882938,0.5562917407882938,0.4707456385400716,0.0,0.4707456385400716,0.4707456385400716
engagement,groupkfold_subject_fold_2,rf_reg,1,9644,462.75935769081116,0.07936017303987951,0.0,0.07936017303987951,0.07936017303987951,0.10360637944780318,0.0,0.10360637944780318,0.10360637944780318,0.33029961537126085,0.0,0.33029961537126085,0.33029961537126085,0.577329010308028,0.0,0.577329010308028,0.577329010308028,0.49127306651263686,0.0,0.49127306651263686,0.49127306651263686
excitement,groupkfold_subject_fold_2,hgb_reg,1,10161,12.710796594619751,0.15822751815899802,0.0,0.15822751815899802,0.15822751815899802,0.21099196819504074,0.0,0.21099196819504074,0.21099196819504074,0.19086917419769012,0.0,0.19086917419769012,0.19086917419769012,0.47137725056401825,0.0,0.47137725056401825,0.47137725056401825,0.40800398476992733,0.0,0.40800398476992733,0.40800398476992733
excitement,groupkfold_subject_fold_2,lgbm_reg,1,10161,15.387125253677368,0.15712162840490218,0.0,0.15712162840490218,0.15712162840490218,0.20934952324599193,0.0,0.20934952324599193,0.20934952324599193,0.20341733232873482,0.0,0.20341733232873482,0.20341733232873482,0.4814611189431066,0.0,0.4814611189431066,0.4814611189431066,0.4166548143972984,0.0,0.4166548143972984,0.4166548143972984
excitement,groupkfold_subject_fold_2,rf_reg,1,10161,521.5692613124847,0.15255190266851473,0.0,0.15255190266851473,0.15255190266851473,0.20176338607298228,0.0,0.20176338607298228,0.20176338607298228,0.26010240475208635,0.0,0.26010240475208635,0.26010240475208635,0.511526088415029,0.0,0.511526088415029,0.511526088415029,0.42970625360497106,0.0,0.42970625360497106,0.42970625360497106
focus,groupkfold_subject_fold_2,hgb_reg,1,8986,12.151264667510986,0.08758396045623347,0.0,0.08758396045623347,0.08758396045623347,0.1139607499878889,0.0,0.1139607499878889,0.1139607499878889,0.22499793469089713,0.0,0.22499793469089713,0.22499793469089713,0.4996545391123107,0.0,0.4996545391123107,0.4996545391123107,0.5007560374469101,0.0,0.5007560374469101,0.5007560374469101
focus,groupkfold_subject_fold_2,lgbm_reg,1,8986,9.749146938323975,0.08792538087639976,0.0,0.08792538087639976,0.08792538087639976,0.1142804342437364,0.0,0.1142804342437364,0.1142804342437364,0.22064374322132252,0.0,0.22064374322132252,0.22064374322132252,0.4908143889185974,0.0,0.4908143889185974,0.4908143889185974,0.49369822713035216,0.0,0.49369822713035216,0.49369822713035216
focus,groupkfold_subject_fold_2,rf_reg,1,8986,475.070476770401,0.08875384759919011,0.0,0.08875384759919011,0.08875384759919011,0.11493818264469631,0.0,0.11493818264469631,0.11493818264469631,0.21164665557903772,0.0,0.21164665557903772,0.21164665557903772,0.4778329216035098,0.0,0.4778329216035098,0.4778329216035098,0.47364296652426147,0.0,0.47364296652426147,0.47364296652426147
interest,groupkfold_subject_fold_2,hgb_reg,1,9114,11.77967643737793,0.05783893011707771,0.0,0.05783893011707771,0.05783893011707771,0.07896769409805023,0.0,0.07896769409805023,0.07896769409805023,0.11710136638679147,0.0,0.11710136638679147,0.11710136638679147,0.4047783430522997,0.0,0.4047783430522997,0.4047783430522997,0.3517088745415916,0.0,0.3517088745415916,0.3517088745415916
interest,groupkfold_subject_fold_2,lgbm_reg,1,9114,9.486930131912231,0.05831844820908813,0.0,0.05831844820908813,0.05831844820908813,0.07905317226933592,0.0,0.07905317226933592,0.07905317226933592,0.11518895380413863,0.0,0.11518895380413863,0.11518895380413863,0.40572469285043183,0.0,0.40572469285043183,0.40572469285043183,0.35242284245724353,0.0,0.35242284245724353,0.35242284245724353
interest,groupkfold_subject_fold_2,rf_reg,1,9114,574.4273993968964,0.05890342045679217,0.0,0.05890342045679217,0.05890342045679217,0.07986430204147761,0.0,0.07986430204147761,0.07986430204147761,0.09693848906506586,0.0,0.09693848906506586,0.09693848906506586,0.36742970980319706,0.0,0.36742970980319706,0.36742970980319706,0.3085682537033943,0.0,0.3085682537033943,0.3085682537033943
relaxation,groupkfold_subject_fold_2,hgb_reg,1,9108,12.087602138519287,0.10613627379674602,0.0,0.10613627379674602,0.10613627379674602,0.1335323271815543,0.0,0.1335323271815543,0.1335323271815543,0.18997168375936357,0.0,0.18997168375936357,0.18997168375936357,0.4494060805158031,0.0,0.4494060805158031,0.4494060805158031,0.41443260147810185,0.0,0.41443260147810185,0.41443260147810185
relaxation,groupkfold_subject_fold_2,lgbm_reg,1,9108,9.623917818069458,0.10569258465795649,0.0,0.10569258465795649,0.10569258465795649,0.13330809255297188,0.0,0.13330809255297188,0.13330809255297188,0.19268988534671583,0.0,0.19268988534671583,0.19268988534671583,0.4571421899009861,0.0,0.4571421899009861,0.4571421899009861,0.42090265355439577,0.0,0.42090265355439577,0.42090265355439577
relaxation,groupkfold_subject_fold_2,rf_reg,1,9108,465.9948296546936,0.10735642288028528,0.0,0.10735642288028528,0.10735642288028528,0.1341588686372847,0.0,0.1341588686372847,0.1341588686372847,0.18235245058574268,0.0,0.18235245058574268,0.18235245058574268,0.4307511615733474,0.0,0.4307511615733474,0.4307511615733474,0.3792255768172929,0.0,0.3792255768172929,0.3792255768172929
stress,groupkfold_subject_fold_2,hgb_reg,1,8986,11.466876983642578,0.071765681725424,0.0,0.071765681725424,0.071765681725424,0.10523267660896067,0.0,0.10523267660896067,0.10523267660896067,0.18210000496130452,0.0,0.18210000496130452,0.18210000496130452,0.44514786422659397,0.0,0.44514786422659397,0.44514786422659397,0.3782896528695185,0.0,0.3782896528695185,0.3782896528695185
stress,groupkfold_subject_fold_2,lgbm_reg,1,8986,9.248192548751831,0.07258697711279673,0.0,0.07258697711279673,0.07258697711279673,0.10481878810889653,0.0,0.10481878810889653,0.10481878810889653,0.18852108444247606,0.0,0.18852108444247606,0.18852108444247606,0.4470820849629674,0.0,0.4470820849629674,0.4470820849629674,0.36989852444989246,0.0,0.36989852444989246,0.36989852444989246
stress,groupkfold_subject_fold_2,rf_reg,1,8986,645.8494265079498,0.07357622802887205,0.0,0.07357622802887205,0.07357622802887205,0.10676020133893364,0.0,0.10676020133893364,0.10676020133893364,0.15818290643849064,0.0,0.15818290643849064,0.15818290643849064,0.4105717783371157,0.0,0.4105717783371157,0.4105717783371157,0.3266536722251774,0.0,0.3266536722251774,0.3266536722251774
attention,groupkfold_subject_fold_3,hgb_reg,1,8660,15.641032934188843,0.10170531533287744,0.0,0.10170531533287744,0.10170531533287744,0.12815559589771322,0.0,0.12815559589771322,0.12815559589771322,0.12946892550173617,0.0,0.12946892550173617,0.12946892550173617,0.40099916481095177,0.0,0.40099916481095177,0.40099916481095177,0.4000331028614878,0.0,0.4000331028614878,0.4000331028614878
attention,groupkfold_subject_fold_3,lgbm_reg,1,8660,15.404003620147705,0.10103512593416356,0.0,0.10103512593416356,0.10103512593416356,0.12758241946669147,0.0,0.12758241946669147,0.12758241946669147,0.13723841965303984,0.0,0.13723841965303984,0.13723841965303984,0.41439658247847005,0.0,0.41439658247847005,0.41439658247847005,0.41240470689681225,0.0,0.41240470689681225,0.41240470689681225
attention,groupkfold_subject_fold_3,rf_reg,1,8660,445.23815846443176,0.09868685032721193,0.0,0.09868685032721193,0.09868685032721193,0.12611838496457028,0.0,0.12611838496457028,0.12611838496457028,0.15692554405247394,0.0,0.15692554405247394,0.15692554405247394,0.41566760634831196,0.0,0.41566760634831196,0.41566760634831196,0.41479614127698,0.0,0.41479614127698,0.41479614127698
engagement,groupkfold_subject_fold_3,hgb_reg,1,9717,12.7087984085083,0.09200199627707734,0.0,0.09200199627707734,0.09200199627707734,0.11562342506578774,0.0,0.11562342506578774,0.11562342506578774,0.20073154646939084,0.0,0.20073154646939084,0.20073154646939084,0.5197878416669743,0.0,0.5197878416669743,0.5197878416669743,0.4292697532571911,0.0,0.4292697532571911,0.4292697532571911
engagement,groupkfold_subject_fold_3,lgbm_reg,1,9717,10.345768451690674,0.09216441355305861,0.0,0.09216441355305861,0.09216441355305861,0.1161047606448454,0.0,0.1161047606448454,0.1161047606448454,0.1940630513462226,0.0,0.1940630513462226,0.1940630513462226,0.5219876535873255,0.0,0.5219876535873255,0.5219876535873255,0.4333602206064959,0.0,0.4333602206064959,0.4333602206064959
engagement,groupkfold_subject_fold_3,rf_reg,1,9717,449.1323459148407,0.08957066156333617,0.0,0.08957066156333617,0.08957066156333617,0.11262375215042908,0.0,0.11262375215042908,0.11262375215042908,0.24166518298278583,0.0,0.24166518298278583,0.24166518298278583,0.5166807197301087,0.0,0.5166807197301087,0.5166807197301087,0.41616580149146887,0.0,0.41616580149146887,0.41616580149146887
excitement,groupkfold_subject_fold_3,hgb_reg,1,10319,12.721638202667236,0.14399562234605665,0.0,0.14399562234605665,0.14399562234605665,0.18866781120973636,0.0,0.18866781120973636,0.18866781120973636,0.4049007017764933,0.0,0.4049007017764933,0.4049007017764933,0.6363787534253151,0.0,0.6363787534253151,0.6363787534253151,0.5793145417408222,0.0,0.5793145417408222,0.5793145417408222
excitement,groupkfold_subject_fold_3,lgbm_reg,1,10319,10.31719422340393,0.14379617159117444,0.0,0.14379617159117444,0.14379617159117444,0.18783623552586667,0.0,0.18783623552586667,0.18783623552586667,0.4101350817533921,0.0,0.4101350817533921,0.4101350817533921,0.6407381195216673,0.0,0.6407381195216673,0.6407381195216673,0.5796244779973968,0.0,0.5796244779973968,0.5796244779973968
excitement,groupkfold_subject_fold_3,rf_reg,1,10319,529.7113852500916,0.144701287921375,0.0,0.144701287921375,0.144701287921375,0.18885295822371562,0.0,0.18885295822371562,0.18885295822371562,0.4037321408041967,0.0,0.4037321408041967,0.4037321408041967,0.6404581146059027,0.0,0.6404581146059027,0.6404581146059027,0.5758990270878006,0.0,0.5758990270878006,0.5758990270878006
focus,groupkfold_subject_fold_3,hgb_reg,1,9107,12.224461555480957,0.10019622974466375,0.0,0.10019622974466375,0.10019622974466375,0.12809224556484616,0.0,0.12809224556484616,0.12809224556484616,0.08012745293315049,0.0,0.08012745293315049,0.08012745293315049,0.3330264879624137,0.0,0.3330264879624137,0.3330264879624137,0.33105202242769166,0.0,0.33105202242769166,0.33105202242769166
