feature,real_mean,synthetic_mean,real_std,synthetic_std,mean_abs_diff,std_abs_diff
POW.AF3.Alpha__mean,48.70452,36.0416,1223.1962,1361.6531,12.662922,138.45691
POW.AF3.Alpha__std,45.61654,47.379547,1015.41614,1098.2072,1.7630081,82.791016
POW.AF3.Alpha__min,2.7019117,-1.708456,114.8937,145.85544,4.410368,30.961739
POW.AF3.Alpha__max,180.14133,189.03716,3965.4836,4372.2827,8.895828,406.79907
POW.AF3.BetaH__mean,9.347941,-0.103719644,227.53548,247.56003,9.451661,20.024551
POW.AF3.BetaH__std,7.4688435,0.46018544,159.34596,164.18796,7.008658,4.8419952
POW.AF3.BetaH__min,0.76485366,-0.24309607,29.180496,37.060963,1.0079497,7.8804665
POW.AF3.BetaH__max,30.482222,-5.7730503,646.94714,679.9298,36.255272,32.982666
POW.AF3.BetaL__mean,21.90232,2.480274,529.08966,639.2174,19.422047,110.12775
POW.AF3.BetaL__std,18.891096,10.217058,404.0431,444.6557,8.674038,40.61261
POW.AF3.BetaL__min,1.4117471,0.93736064,59.69158,69.24205,0.47438645,9.550468
POW.AF3.BetaL__max,75.524635,30.7197,1633.5784,1773.4314,44.804935,139.85303
POW.AF3.Gamma__mean,3.2404125,1.320221,66.983665,74.32381,1.9201915,7.3401413
POW.AF3.Gamma__std,2.8320928,1.7879605,56.336826,46.610096,1.0441322,9.72673
POW.AF3.Gamma__min,0.34418508,0.16780168,6.8235674,12.04286,0.1763834,5.2192926
POW.AF3.Gamma__max,11.967107,5.0414853,245.28616,195.84868,6.9256215,49.437485
POW.AF3.Theta__mean,177.80692,52.057747,4326.3486,4766.5513,125.74917,440.20264
POW.AF3.Theta__std,139.60687,91.52839,2622.1987,2777.2708,48.078484,155.07202
POW.AF3.Theta__min,7.7058277,-13.435331,337.72998,768.49445,21.14116,430.76447
POW.AF3.Theta__max,547.2552,254.57275,10225.635,11481.688,292.68243,1256.0537
POW.AF4.Alpha__mean,48.277092,19.976566,1227.7949,1306.8134,28.300526,79.01843
POW.AF4.Alpha__std,44.52625,24.756311,1016.1621,1052.5919,19.769938,36.42981
POW.AF4.Alpha__min,3.0756772,-5.5358753,124.86962,128.68169,8.611552,3.8120651
POW.AF4.Alpha__max,177.06264,100.250084,3978.575,4222.9834,76.81255,244.40845
POW.AF4.BetaH__mean,9.269564,-0.80249816,226.14452,249.88094,10.072062,23.73642
POW.AF4.BetaH__std,7.018856,0.47398594,154.70235,168.81497,6.54487,14.112625
POW.AF4.BetaH__min,0.9005367,-0.42381606,29.752441,34.11845,1.3243527,4.3660088
POW.AF4.BetaH__max,28.89764,-1.6781474,630.48724,696.45123,30.575788,65.96399
POW.AF4.BetaL__mean,22.08238,-7.0020766,533.0835,617.2211,29.084457,84.137634
POW.AF4.BetaL__std,19.107994,2.1562324,423.3536,444.38208,16.951761,21.028473
POW.AF4.BetaL__min,1.4999838,-0.99737674,57.118755,51.702213,2.4973605,5.416542
POW.AF4.BetaL__max,76.661575,-9.110363,1726.4384,1816.0303,85.77194,89.59192
POW.AF4.Gamma__mean,3.4353824,2.0610669,67.07848,78.7478,1.3743155,11.669319
POW.AF4.Gamma__std,2.7743702,2.6477647,54.00511,51.80952,0.12660551,2.195591
POW.AF4.Gamma__min,0.47967514,0.14370862,8.123133,13.323673,0.33596653,5.2005405
POW.AF4.Gamma__max,11.968825,7.454001,238.12788,215.18895,4.5148244,22.938934
POW.AF4.Theta__mean,174.29301,4.237353,4313.869,4701.0044,170.05566,387.13525
POW.AF4.Theta__std,134.80035,72.429535,2598.0823,2746.887,62.37082,148.80469
POW.AF4.Theta__min,8.069027,-22.055128,338.50037,694.637,30.124155,356.13666
POW.AF4.Theta__max,532.63074,202.17386,10156.477,11527.805,330.45688,1371.3281
POW.F3.Alpha__mean,47.298317,18.762959,1249.2299,1277.8453,28.535358,28.615479
POW.F3.Alpha__std,42.593628,35.665676,1023.3657,1053.5756,6.927952,30.209839
POW.F3.Alpha__min,2.9406724,-5.89101,121.14255,121.54326,8.831682,0.40071106
POW.F3.Alpha__max,168.40063,142.95486,3983.9001,4201.995,25.44577,218.09497
POW.F3.BetaH__mean,9.17789,-1.0949582,231.97112,246.36937,10.272848,14.398254
POW.F3.BetaH__std,7.082502,1.9273058,160.37334,164.91235,5.155196,4.5390167
POW.F3.BetaH__min,0.8007894,-1.0732853,30.290972,32.44511,1.8740747,2.1541386
POW.F3.BetaH__max,29.267553,-1.4538655,650.4182,678.9168,30.721418,28.498596
POW.F3.BetaL__mean,20.869894,-3.2606807,528.7176,614.9518,24.130575,86.23419
POW.F3.BetaL__std,17.022522,11.184983,396.12222,441.17645,5.8375387,45.05423
POW.F3.BetaL__min,1.4993807,-1.8791318,60.655834,48.696785,3.3785124,11.959049
POW.F3.BetaL__max,67.971504,39.561813,1602.0758,1784.9198,28.40969,182.844
POW.F3.Gamma__mean,3.1207821,1.2589912,69.421394,73.5835,1.8617909,4.1621094
POW.F3.Gamma__std,2.6440473,2.0169954,54.855858,46.498886,0.62705183,8.356972
POW.F3.Gamma__min,0.32656,-0.18612242,7.6599936,9.900718,0.51268244,2.240724
POW.F3.Gamma__max,11.368007,5.841118,241.20534,195.3124,5.526889,45.892944
POW.F3.Theta__mean,164.28882,-15.2691965,4358.584,4695.8706,179.55801,337.28662
POW.F3.Theta__std,116.24888,68.06983,2614.0662,2735.986,48.179047,121.91992
POW.F3.Theta__min,8.457649,-19.814917,349.64334,666.9988,28.272566,317.35544
POW.F3.Theta__max,458.14212,152.83311,10222.729,11516.361,305.30902,1293.6328
POW.F4.Alpha__mean,50.65481,12.22491,1226.7968,1304.6023,38.4299,77.80554
POW.F4.Alpha__std,46.84376,37.31424,1020.836,1052.8658,9.529522,32.029846
POW.F4.Alpha__min,3.4751484,-6.9180274,127.07751,131.14406,10.393176,4.066551
POW.F4.Alpha__max,187.07184,134.21736,3990.6667,4146.4956,52.854477,155.82886
POW.F4.BetaH__mean,10.509457,-2.5804045,231.02719,252.51799,13.089861,21.490799
POW.F4.BetaH__std,8.4497,2.2757359,164.2028,164.03505,6.1739645,0.16775513
POW.F4.BetaH__min,1.0906217,-1.3644162,35.791004,41.275436,2.455038,5.484432
POW.F4.BetaH__max,35.061546,1.6324768,665.5417,689.827,33.42907,24.28534
POW.F4.BetaL__mean,23.973442,-5.139844,533.31934,618.6011,29.113285,85.28174
POW.F4.BetaL__std,20.370005,11.572556,407.0249,439.5729,8.797449,32.548004
POW.F4.BetaL__min,1.9890014,-2.4635937,69.34014,61.08496,4.452595,8.25518
POW.F4.BetaL__max,82.070076,35.42759,1647.7029,1790.8567,46.642487,143.15381
POW.F4.Gamma__mean,3.8758118,2.2665424,71.80678,83.7879,1.6092694,11.981125
POW.F4.Gamma__std,3.3273008,2.3567216,58.36979,52.805912,0.97057915,5.563877
POW.F4.Gamma__min,0.5225632,0.16192208,13.3458605,20.316977,0.36064112,6.971116
POW.F4.Gamma__max,14.433001,7.0622134,257.17978,220.43704,7.370787,36.742737
POW.F4.Theta__mean,171.21591,-28.617653,4328.562,4732.269,199.83356,403.70703
POW.F4.Theta__std,126.88339,60.39414,2640.6272,2760.3206,66.48926,119.69336
POW.F4.Theta__min,8.731441,-28.99045,342.88544,715.0647,37.72189,372.17926
POW.F4.Theta__max,504.023,166.89098,10320.926,11477.906,337.13202,1156.9805
POW.F7.Alpha__mean,47.714767,16.407923,1217.3329,1277.2966,31.306845,59.963745
POW.F7.Alpha__std,45.079803,37.101536,1015.1123,1048.3307,7.9782677,33.218384
POW.F7.Alpha__min,3.0811627,-6.877154,122.26572,126.83783,9.958317,4.572113
POW.F7.Alpha__max,180.83904,122.1238,3997.2104,4155.405,58.715233,158.19434
POW.F7.BetaH__mean,8.89368,-3.0713995,224.63087,247.27505,11.965079,22.64418
POW.F7.BetaH__std,6.6820455,1.346371,151.06474,163.76553,5.3356743,12.70079
POW.F7.BetaH__min,0.8703257,-0.9866016,34.04214,30.437683,1.8569273,3.6044579
POW.F7.BetaH__max,27.531975,-4.5140495,617.3639,693.41437,32.046024,76.050476
POW.F7.BetaL__mean,21.438091,1.8977338,526.30255,623.0813,19.540358,96.77875
POW.F7.BetaL__std,17.83382,11.959471,395.64633,440.34198,5.8743496,44.69565
POW.F7.BetaL__min,1.7403426,-1.9647727,70.54156,51.921074,3.7051153,18.620483
POW.F7.BetaL__max,71.63342,28.389584,1606.0154,1745.4125,43.24384,139.3971
POW.F7.Gamma__mean,3.2428286,1.6982565,66.8608,73.703995,1.5445721,6.843193
POW.F7.Gamma__std,2.6901877,2.257495,55.249,47.81174,0.43269277,7.4372597
POW.F7.Gamma__min,0.39632937,-0.105222374,7.028975,9.511445,0.50155175,2.48247
POW.F7.Gamma__max,11.6012745,7.2794046,244.72896,199.5695,4.32187,45.159454
POW.F7.Theta__mean,180.90668,10.864538,4324.5347,4690.4717,170.04214,365.937
POW.F7.Theta__std,147.41908,100.26734,2616.505,2669.709,47.15174,53.2041
POW.F7.Theta__min,8.436998,-25.750486,342.03265,657.416,34.187485,315.38336
POW.F7.Theta__max,588.2121,327.64035,10215.563,11751.144,260.57175,1535.5801
POW.F8.Alpha__mean,52.72713,7.2826633,1241.0175,1349.1986,45.444466,108.18115
POW.F8.Alpha__std,49.10519,42.709747,1020.4229,1054.9681,6.395443,34.545227
POW.F8.Alpha__min,4.4909077,-9.381756,182.2415,158.9086,13.8726635,23.332901
POW.F8.Alpha__max,197.25584,134.61266,4013.166,4246.0894,62.64319,232.92334
POW.F8.BetaH__mean,10.404977,-5.8204265,232.44005,256.28458,16.225403,23.844528
POW.F8.BetaH__std,8.168561,1.4303002,158.89598,166.24074,6.7382607,7.344757
POW.F8.BetaH__min,1.3596026,-2.04287,54.79916,45.2141,3.4024725,9.58506
POW.F8.BetaH__max,34.006535,-6.4140787,647.4951,693.74445,40.420612,46.24933
POW.F8.BetaL__mean,24.009575,-6.614943,538.04376,633.205,30.624517,95.161255
POW.F8.BetaL__std,20.670845,11.825567,406.44327,450.2062,8.845278,43.76294
POW.F8.BetaL__min,2.211643,-3.0755334,86.47795,68.06308,5.287176,18.414871
POW.F8.BetaL__max,83.47753,23.730433,1639.8939,1811.6072,59.7471,171.71326
POW.F8.Gamma__mean,3.8690288,0.49998066,72.782364,81.80031,3.369048,9.017944
POW.F8.Gamma__std,3.0584795,1.2927476,54.839382,49.411423,1.7657319,5.4279594
POW.F8.Gamma__min,0.7061893,-0.26284894,26.827082,22.24004,0.96903825,4.587042
POW.F8.Gamma__max,13.291183,3.1430023,242.68681,207.55542,10.148181,35.131393
POW.F8.Theta__mean,190.14844,-11.720186,4332.605,4717.907,201.86862,385.30225
POW.F8.Theta__std,156.5339,83.70672,2632.019,2824.813,72.82719,192.79395
POW.F8.Theta__min,10.652996,-36.833054,381.7816,721.16656,47.48605,339.38498
POW.F8.Theta__max,628.76587,258.2988,10291.38,11680.348,370.46707,1388.9678
POW.FC5.Alpha__mean,46.924774,24.899305,1226.8718,1290.1655,22.025469,63.2937
POW.FC5.Alpha__std,43.405457,40.525414,1013.41327,1058.3771,2.880043,44.963806
POW.FC5.Alpha__min,2.6751738,-6.9896603,119.99952,116.86148,9.664834,3.1380386
POW.FC5.Alpha__max,173.11644,152.4748,3976.0574,4199.6255,20.641647,223.56812
POW.FC5.BetaH__mean,9.127259,-1.886526,227.3218,243.59544,11.013785,16.273651
POW.FC5.BetaH__std,7.212812,1.9595696,156.8386,162.59465,5.2532425,5.7560577
POW.FC5.BetaH__min,0.75200856,-0.92016053,29.353079,29.796566,1.6721691,0.44348717
POW.FC5.BetaH__max,29.88161,-1.3884015,643.77386,685.52905,31.270012,41.755188
POW.FC5.BetaL__mean,21.362871,0.3579116,530.0199,606.9874,21.00496,76.96753
POW.FC5.BetaL__std,18.109333,11.392345,402.89078,437.7671,6.7169876,34.876312
POW.FC5.BetaL__min,1.3680365,-1.7349174,58.33888,44.80611,3.102954,13.532768
POW.FC5.BetaL__max,72.36673,50.148155,1629.1434,1776.528,22.218575,147.38452
POW.FC5.Gamma__mean,3.2554202,1.5999342,66.79275,71.32381,1.655486,4.5310593
POW.FC5.Gamma__std,2.8602257,2.3114243,54.495678,46.975204,0.5488014,7.5204735
POW.FC5.Gamma__min,0.35184002,-0.11253085,6.8312764,9.193451,0.46437088,2.3621745
POW.FC5.Gamma__max,12.361891,7.411496,241.27963,190.31389,4.9503946,50.965744
POW.FC5.Theta__mean,166.33289,17.379322,4321.581,4677.2144,148.95357,355.6333
POW.FC5.Theta__std,124.83624,79.71427,2605.6797,2710.3018,45.12197,104.62207
POW.FC5.Theta__min,7.650049,-23.04596,338.23175,653.0747,30.696009,314.84296
POW.FC5.Theta__max,495.5685,247.93324,10185.285,11514.958,247.63527,1329.6729
POW.FC6.Alpha__mean,73.982475,71.31183,1370.2698,1423.778,2.6706467,53.50818
POW.FC6.Alpha__std,68.66579,79.07517,1195.5104,1104.8347,10.409386,90.67566
POW.FC6.Alpha__min,5.9990606,-6.938511,134.19841,141.85374,12.937572,7.6553345
POW.FC6.Alpha__max,271.42117,287.3898,4541.454,4541.5273,15.968628,0.07324219
POW.FC6.BetaH__mean,16.294641,10.07961,279.18784,251.37222,6.2150316,27.815613
POW.FC6.BetaH__std,13.297595,8.79662,214.91025,181.5645,4.5009747,33.34575
POW.FC6.BetaH__min,2.1610389,-0.17760134,50.87958,30.463095,2.3386402,20.416487
POW.FC6.BetaH__max,55.189083,32.289734,885.64636,750.15906,22.89935,135.4873
POW.FC6.BetaL__mean,34.76899,26.751472,596.4334,657.50885,8.017517,61.07544
POW.FC6.BetaL__std,29.07282,32.49604,445.43054,472.22153,3.4232197,26.790985
POW.FC6.BetaL__min,3.5036669,-0.5101543,85.348366,64.86163,4.013821,20.486732
POW.FC6.BetaL__max,118.35383,125.61031,1838.4402,1918.2473,7.256485,79.80713
POW.FC6.Gamma__mean,6.5874305,6.416408,95.804115,87.192665,0.17102242,8.61145
POW.FC6.Gamma__std,5.4053526,6.38771,84.14301,62.835876,0.9823575,21.307137
POW.FC6.Gamma__min,1.0080143,0.09652831,17.981707,12.200931,0.911486,5.780776
POW.FC6.Gamma__max,22.71634,21.548607,346.64334,260.09393,1.1677322,86.54941
POW.FC6.Theta__mean,212.12373,105.89021,4234.8525,4144.192,106.23352,90.660645
POW.FC6.Theta__std,178.46913,152.67986,2752.5796,2532.5537,25.789276,220.02588
POW.FC6.Theta__min,18.953035,-16.652893,600.7842,520.54694,35.605927,80.23724
POW.FC6.Theta__max,732.62415,469.6865,11599.686,11071.512,262.93765,528.1738
POW.O1.Alpha__mean,47.160423,20.817097,1223.0621,1299.2742,26.343327,76.212036
POW.O1.Alpha__std,43.667637,39.316727,1014.16504,1041.5406,4.35091,27.37561
POW.O1.Alpha__min,3.3858185,-7.539003,144.37787,132.4987,10.924822,11.879166
POW.O1.Alpha__max,173.01515,141.96342,3968.6853,4223.8857,31.051727,255.20044
POW.O1.BetaH__mean,9.496826,-3.2595913,232.72592,246.72253,12.756417,13.996613
POW.O1.BetaH__std,7.2562284,0.016227406,156.81616,164.77873,7.240001,7.96257
POW.O1.BetaH__min,1.1842141,-1.9107125,53.53763,38.002815,3.0949266,15.534813
POW.O1.BetaH__max,29.959953,1.1648293,644.8094,700.0201,28.795124,55.210693
POW.O1.BetaL__mean,22.162308,-3.787325,537.8191,612.42487,25.949633,74.605774
POW.O1.BetaL__std,18.302917,13.83785,401.08987,437.37338,4.465068,36.28351
POW.O1.BetaL__min,2.3143601,-3.2301185,106.78057,62.24546,5.5444784,44.53511
POW.O1.BetaL__max,73.45737,31.751469,1623.5846,1769.5524,41.7059,145.96777
POW.O1.Gamma__mean,3.4662604,0.96942204,71.019295,76.64745,2.4968383,5.6281586
POW.O1.Gamma__std,2.8948743,1.9540279,55.590694,47.83719,0.94084644,7.7535057
POW.O1.Gamma__min,0.50411445,-0.45797774,17.135868,12.860664,0.96209216,4.2752037
POW.O1.Gamma__max,12.3964,5.7748623,243.76901,196.30046,6.621538,47.46855
POW.O1.Theta__mean,166.36015,8.252903,4331.815,4689.724,158.10725,357.90918
POW.O1.Theta__std,124.62902,85.325775,2621.794,2745.8477,39.303246,124.05371
POW.O1.Theta__min,8.446555,-35.237495,359.8472,703.2857,43.68405,343.4385
POW.O1.Theta__max,489.32834,287.8168,10215.527,11565.84,201.51154,1350.3125
POW.O2.Alpha__mean,49.152157,16.50869,1235.5599,1293.3457,32.643467,57.785767
POW.O2.Alpha__std,44.338596,37.089447,1020.84784,1045.6979,7.2491493,24.850037
POW.O2.Alpha__min,3.6009986,-8.247262,141.30591,136.13715,11.848261,5.168762
POW.O2.Alpha__max,175.02518,140.46979,3988.7507,4100.6846,34.55539,111.93384
POW.O2.BetaH__mean,9.27884,-1.2740059,224.92703,250.1871,10.552846,25.26007
POW.O2.BetaH__std,7.134144,1.0357145,155.06638,162.70839,6.098429,7.6420135
POW.O2.BetaH__min,0.87242573,-0.982062,30.249165,32.56684,1.8544877,2.3176765
POW.O2.BetaH__max,29.422325,1.0903552,634.054,681.1149,28.33197,47.060913
POW.O2.BetaL__mean,22.273418,0.27502307,532.3832,612.0951,21.998396,79.711914
POW.O2.BetaL__std,18.703445,8.641655,403.43616,437.63174,10.06179,34.195587
POW.O2.BetaL__min,1.6109726,-1.8230045,60.08262,49.320858,3.4339771,10.761761
POW.O2.BetaL__max,74.33486,38.945095,1625.6005,1741.308,35.389767,115.70752
POW.O2.Gamma__mean,3.3042588,0.9980259,66.323746,72.65153,2.306233,6.3277817
POW.O2.Gamma__std,2.676071,2.1315298,53.184116,46.250538,0.5445411,6.9335785
POW.O2.Gamma__min,0.4286335,-0.004718102,7.0892777,10.017768,0.4333516,2.9284902
POW.O2.Gamma__max,11.477714,6.0767126,233.93729,197.30865,5.401001,36.62863
POW.O2.Theta__mean,171.9557,-25.705124,4366.7007,4731.0386,197.66083,364.3379
POW.O2.Theta__std,123.76358,73.1132,2613.105,2767.9978,50.650383,154.89282
POW.O2.Theta__min,12.696171,-43.050655,632.2383,791.6709,55.746826,159.43262
POW.O2.Theta__max,488.03534,186.52414,10187.743,11616.23,301.5112,1428.4873
POW.P7.Alpha__mean,43.15931,17.363394,1217.0386,1309.5143,25.795916,92.47571
POW.P7.Alpha__std,38.717308,35.598694,997.1119,1037.035,3.1186142,39.923157
POW.P7.Alpha__min,2.3959596,-6.231494,116.30505,119.890594,8.627454,3.5855408
POW.P7.Alpha__max,152.8705,91.417366,3890.682,4172.7886,61.453133,282.1067
POW.P7.BetaH__mean,8.511025,-0.97103107,224.38756,247.59065,9.482057,23.203094
POW.P7.BetaH__std,6.4748,-0.4906162,151.12204,163.59296,6.9654164,12.470917
POW.P7.BetaH__min,0.6972059,-0.768236,29.429096,32.61751,1.465442,3.1884155
POW.P7.BetaH__max,26.7554,-3.5349839,619.0332,691.7063,30.290384,72.673096
POW.P7.BetaL__mean,20.117407,-5.133546,527.5277,604.9054,25.250954,77.377686
POW.P7.BetaL__std,16.573936,9.463066,397.16748,434.71878,7.1108704,37.5513
POW.P7.BetaL__min,1.3195032,-1.6077242,60.1347,47.222916,2.9272275,12.911785
POW.P7.BetaL__max,65.871056,23.402187,1605.9629,1751.0083,42.46887,145.04541
POW.P7.Gamma__mean,3.045826,2.4721782,66.61683,79.906715,0.57364774,13.289886
POW.P7.Gamma__std,2.627697,1.638087,54.137012,48.08873,0.98960996,6.0482826
POW.P7.Gamma__min,0.32456803,0.5538304,6.9058084,18.007128,0.22926235,11.101319
POW.P7.Gamma__max,11.45597,6.7996416,241.35164,206.36107,4.656328,34.99057
POW.P7.Theta__mean,154.27878,2.743633,4312.802,4702.5576,151.53514,389.75586
POW.P7.Theta__std,107.38791,53.220364,2570.08,2669.4258,54.167545,99.3457
POW.P7.Theta__min,7.311109,-22.873753,339.23416,672.5232,30.184862,333.28903
POW.P7.Theta__max,424.8414,143.41597,10067.173,11306.276,281.4254,1239.1035
POW.P8.Alpha__mean,78.107,17.189276,1510.6139,1355.418,60.917725,155.19592
POW.P8.Alpha__std,73.21666,53.47397,1324.0546,1106.9789,19.742691,217.07568
POW.P8.Alpha__min,6.730285,-7.879949,185.1471,139.31937,14.610234,45.82773
